Clibre,R90XLPE sans enveloppe,RW75XLPE sans enveloppe,RW90XLPE sans enveloppe,R90XLPE avec enveloppe,RW75XLPE avec enveloppe,R90EP avec enveloppe,RW75EP avec enveloppe,RW90XLPE avec enveloppe,RW90EPâ€¡,TWN75,T90 NYLON,TW,TW75,TWU,TWU75,RWU90XLPE sans enveloppe
14,8.89,8.89,8.89,13.36,13.36,13.36,13.36,13.36,13.36,6.18,6.18,8.89,8.89,18.7,18.7,18.7
12,11.61,11.61,11.61,16.75,16.75,16.75,16.75,16.75,16.75,8.47,8.47,11.61,11.61,22.56,22.56,22.56
10,15.67,15.67,15.67,21.45,21.45,21.45,21.45,21.45,21.45,13.63,13.63,15.67,15.67,27.99,27.99,27.99
8,28.17,28.17,28.17,35.77,35.77,35.77,35.77,35.77,35.77,23.66,23.66,28.17,28.17,47.29,47.29,47.29
6,37.98,37.98,37.98,56.39,56.39,56.39,56.39,56.39,56.39,32.71,32.71,46.73,46.73,59.72,59.72,59.72
4,52.46,52.46,52.46,73.79,73.79,73.79,73.79,73.79,73.79,53.23,53.23,62.67,62.67,77.76,77.76,77.76
3,61.99,61.99,61.99,85.01,85.01,85.01,85.01,85.01,85.01,62.83,62.83,73.05,73.05,89.42,89.42,89.42
2,73.85,73.85,73.85,98.82,98.82,98.82,98.82,98.82,98.82,74.77,74.77,85.88,85.88,103.5,103.5,103.5
1,99.1,99.1,99.1,143.4,143.4,143.4,143.4,143.4,143.4,100.9,100.9,122.6,122.6,137.9,137.9,137.9
1zero,118.3,118.3,118.3,166.4,166.4,166.4,166.4,166.4,166.4,120.3,120.3,143.9,143.9,160.2,160.2,160.2
2zero,141.9,141.9,141.9,194.2,194.2,194.2,194.2,194.2,194.2,144,144,169.8,169.8,187.5,187.5,187.5
3zero,170.6,170.6,170.6,227.5,227.5,227.5,227.5,227.5,227.5,172.9,172.9,201,201,220.6,220.6,220.6
4zero,206.4,206.4,206.4,268.5,268.5,268.5,268.5,268.5,268.5,209,209,239.7,239.7,262.4,262.4,262.4
250,251.8,251.8,251.8,353.2,353.2,353.2,353.2,353.2,353.2,255.7,255.7,296.4,296.4,320.5,320.5,320.5
300,292.6,292.6,292.6,401.2,401.2,401.2,401.2,401.2,401.2,296.9,296.9,340.5,340.5,364.4,364.4,364.4
350,331,331,331,446,446,446,446,446,446,335.6,335.6,381.9,381.9,408.6,408.6,408.6
400,373,373,373,494.5,494.5,494.5,494.5,494.5,494.5,377.8,377.8,426.8,426.8,455,455,455
450,412.2,412.2,412.2,539.5,539.5,539.5,539.5,539.5,539.5,417.3,417.3,468.7,468.7,498.4,498.4,498.4
500,450.5,450.5,450.5,583.2,583.2,583.2,583.2,583.2,583.2,455.8,455.8,509.5,509.5,540.8,540.8,540.8
